workLabel,publicationYear,authorLabel,authorCountryLabel
jPod,2006,Дуглас Коупленд,Канада
Деяния Саксов,960,Видукинд Корвейский,Германия
Дом голубых листьев,,Джон Гуэйр,США
Спираль,1995,Кодзи Судзуки,Япония
"Ты здесь, Бог? Это я, Маргарет",1970,"Блум, Джуди",США
Моя Зарянка,2012,Михо Мосулишвили,СССР
Моя Зарянка,2012,Михо Мосулишвили,Грузия
Кармилла,1872,"Ле Фаню, Шеридан",Соединённое королевство Великобритании и Ирландии
Потерянные души,1992,Поппи Зэд Брайт,США
Субх аль-аша фи санаат аль-инша,1412,Аль-Калкашанди,
Штамм,2009,"Хоган, Чак",США
Игры и люди,1958,"Кайуа, Роже",Франция
Лесная песня,1912,Леся Украинка,Российская империя
Собор Святой Марии,2006,"Фальконес, Ильдефонсо",Испания
Бесконечная война,1974,"Холдеман, Джо",США
Дом Элисон,,"Гласпелл, Сьюзен",США
История Армении,,Мовсес Хоренаци,Великая Армения
Жизнь и необычайные приключения солдата Ивана Чонкина,1969,Владимир Николаевич Войнович,Германия
Жизнь и необычайные приключения солдата Ивана Чонкина,1969,Владимир Николаевич Войнович,СССР
Дети Нового леса,1847,Фредерик Марриет,Королевство Великобритания
Жизнь и необычайные приключения солдата Ивана Чонкина,1969,Владимир Николаевич Войнович,Россия
Вакуумные цветы,1987,"Суэнвик, Майкл",США
Эфиопика,300,Гелиодор,
Фо го цзи,,Фасянь,Цзинь
Как я научилась водить,,"Вогел, Пола",США
Охотник (роман Дональда Уэстлейка),1962,"Уэстлейк, Дональд",США
Ар-Рисала аль-камилия фи-с-сира ан-набавия,,Ибн ан-Нафис,
Халифы и короли,1966,Абу-ль-Аля Маудуди,Британская Индия
В этом наша жизнь,1941,Эллен Глазгоу,США
История Украины-Руси,,Михаил Сергеевич Грушевский,СССР
История Украины-Руси,,Михаил Сергеевич Грушевский,Украинская Народная Республика
Основы геополитики,1997,"Дугин, Александр Гельевич",СССР
Arena,1944,Фредерик Браун,США
История Украины-Руси,,Михаил Сергеевич Грушевский,Российская республика
Основы геополитики,1997,"Дугин, Александр Гельевич",Россия
Кидалы,1963,Джим Томпсон,США
Удивительное путешествие кролика Эдварда,2006,"ДиКамилло, Кейт",США
Ариэль,1941,Александр Романович Беляев,СССР
Ануш,1892,Ованес Туманян,СССР
Китаб ма'на ля илях илля Ллах,,Аз-Заркаши,Мамлюкский султанат
Radúz a Mahulena,1896,"Зейер, Юлиус",Австрийская империя
Колокола Нагасаки,1950,"Нагаи, Такаси",Япония
Эти отвратительные китайцы,,Бо Ян,Китайская Республика
Прощание с повелителем,1940,Гарри Бейтс,США
Дьявол внутри нас,1940,Сабахаттин Али,Османская империя
Дьявол внутри нас,1940,Сабахаттин Али,Турция
Школа для дураков,1976,Саша Соколов,Россия
Братья Sisters,2011,Патрик Деуитт,Канада
Z — значит Захария,1974,Роберт С. О'Брайэн,США
12 несогласных,2009,"Панюшкин, Валерий Валерьевич",СССР
Картины,,Филострат,
"Оцеола, вождь семинолов",1858,Томас Майн Рид,Соединённое королевство Великобритании и Ирландии
12 несогласных,2009,"Панюшкин, Валерий Валерьевич",Россия
Школа для дураков,1976,Саша Соколов,США
Red Hood and the Outlaws,2011,Скотт Лобделл,США
Лоян цзялань цзи,,Ян Сюаньчжи,
Хир Ранджа,,Варис Шах,Империя Великих Моголов
Город,1928,"Пидмогильный, Валерьян Петрович",СССР
Энциклопедия братьев чистоты,1000,Братья чистоты,
Школа для дураков,1976,Саша Соколов,Канада
Рух аль-Маани,,Махмуд аль-Алуси,Османская империя
Собор,1968,Олесь Гончар,СССР
Неуютная ферма,1932,Стелла Гиббонс,Великобритания
Собор,1968,Олесь Гончар,Украина
Ювелирный магазин,1960,Джефф Эндрус,США
Самый богатый человек в Вавилоне,1926,"Клейсон, Джордж Самюэль",США
Третья мировая война: Август 1985,1982,Джон Хэкетт,Австралия
Третья мировая война: Август 1985,1982,Джон Хэкетт,Великобритания
Книга Мирдада,1948,"Нуайме, Михаил",Османская империя
Книга Мирдада,1948,"Нуайме, Михаил",Ливан
Убрать Картера,1970,Тед Льюис,Великобритания
Тафсир аль-Мизан,,"Табатабаи, Мухаммад Хусейн",Иран
"Нет врага, кроме времени",1982,Майкл Бишоп,США
Мактиг,1899,Фрэнк Норрис,США
Фарс-нама,,Ибн ал-Балхи,Государство Сельджукидов
К югу от Гранады,1957,Джеральд Бренан,Соединённое королевство Великобритании и Ирландии
И исходит дьявол,1934,"Уитли, Деннис",Соединённое королевство Великобритании и Ирландии
Книга Мирдада,1948,"Нуайме, Михаил",США
ар-Рисаля аль-Кушайрийя,,Абд аль-Карим аль-Кушайри,Аббасидский халифат
Тарих-и Байхаки,1100,Абу-ль-Фадль Байхаки,Газневидское государство
Имена в мраморе,1936,"Кивикас, Альберт",Эстония
Парижский оборотень,1933,"Эндор, Гай",США
Имена в мраморе,1936,"Кивикас, Альберт",Швеция
Джамхарат ал-луга,,Ибн Дурайд,Аббасидский халифат
Юсуф из Куюджака,,Сабахаттин Али,Османская империя
Юсуф из Куюджака,,Сабахаттин Али,Турция
Морверн Каллар,1995,Алан Уорнер,Великобритания
Чёрная рада,,Пантелеймон Александрович Кулиш,Российская империя
Грядущее разделение,2012,Чарльз Мюррэй,США
Иные песни,2003,Яцек Дукай,Польша
Иные песни,2008,Яцек Дукай,Польша
Имена в мраморе,1936,"Кивикас, Альберт",Российская империя
Миссис Фрисби и крысы НИПЗ,1971,Роберт С. О'Брайэн,США
Советы Кекавмена,,Кекавмен,Византия
Забвение,2011,Бекка Фитцпатрик,США
Стоунер,1965,Джон Эдвард Уильямс,США
Шёл по дороге человек,1973,Отар Чиладзе,СССР
Шёл по дороге человек,1973,Отар Чиладзе,Грузия
Шёл по городу волшебник,1963,Юрий Геннадьевич Томин,СССР
Сто тысяч почему,,М. Ильин,СССР
"Оцеола, вождь семинолов",1858,Томас Майн Рид,США
Пучина,1924,Хосе Эустазио Ривера,Колумбия
Горы дымят (повесть),1939,"Галан, Ярослав Александрович",Польша
Горы дымят (повесть),1939,"Галан, Ярослав Александрович",СССР
Тарих-и Байхаки,1100,Абу-ль-Фадль Байхаки,Саманидское государство
Голод,1980,"Стрибер, Уитли",США
На реках Вавилонских,,Стивен Винсент Бене,США
Сто тысяч почему,,М. Ильин,Российская империя
Третья мировая война: Август 1985,1982,Джон Хэкетт,Соединённое королевство Великобритании и Ирландии
Восстание в Кронштадте. 1921 год,1970,"Эврич, Пол",США
Radúz a Mahulena,1896,"Зейер, Юлиус",Австро-Венгрия
Истории пророков Рабгузи,,Рабгузи,
Мадонна в меховом манто,1943,Сабахаттин Али,Османская империя
Мадонна в меховом манто,1943,Сабахаттин Али,Турция
"Душа, расставшаяся с телом",,Чэнь Сюанью,Империя Тан
Горы дымят (повесть),1939,"Галан, Ярослав Александрович",Польская Республика
Путешествие вокруг моей комнаты,1794,Ксавье де Местр,Сардинское королевство
Шесть дней Кондора,1974,Джеймс Грэйди,США
Первому игроку приготовиться,2011,Эрнест Клайн,США
Шафт,1970,Эрнест Тайдимэн,США
Рабыня Изаура,1875,"Силва Гимарайнш, Бернардо Жоаким да",Бразилия
Улитка и кит,2003,Джулия Дональдсон,Великобритания
Китаб аль-Истиаб фи ма‘рифат аль-Асхаб,,Ибн Абд аль-Барр,
The Heads of Cerberus,1952,"Беннетт, Гертруда Бэрроус",США
К югу от Гранады,1957,Джеральд Бренан,Великобритания
И исходит дьявол,1934,"Уитли, Деннис",Великобритания
аль-Камус аль-Мухит,1410,Файрузабади,
Бедные-несчастные (роман),1992,"Грей, Аласдер",Великобритания
Пятая волна,2013,Рик Янси,США
Хелтер-Скелтер,1974,Винсент Буглиози,США
У обезьяны проблема,2000,Джулия Дональдсон,Великобритания
"Третья Империя. Россия, которая должна быть",2006,Михаил Зиновьевич Юрьев,СССР
Китаб ма'на ля илях илля Ллах,,Аз-Заркаши,Египет
"Вверх по лестнице, ведущей вниз",1964,"Кауфман, Бел",США
"Третья Империя. Россия, которая должна быть",2006,Михаил Зиновьевич Юрьев,Россия
Сто лет и чемодан денег в придачу,2009,Йонас Юнассон,Швеция
Братья Sisters,2011,Патрик Деуитт,США
Нарушенный завет,1906,"Симадзаки, Тосон",Япония
Верхом на помеле,2002,Джулия Дональдсон,Великобритания
Перманентная революция,1931,Лев Давидович Троцкий,СССР
Перманентная революция,1931,Лев Давидович Троцкий,Мексика
Иерусалим (поэма),1804,Уильям Блейк,Соединённое королевство Великобритании и Ирландии
Стэнли,1996,Пэм Гемс,Великобритания
WikiLeaks: Inside Julian Assange’s War on Secrecy,2011,"Хардинг, Люк",Великобритания
Перманентная революция,1931,Лев Давидович Троцкий,Российская империя
Перманентная революция,1931,Лев Давидович Троцкий,РСФСР
Начни с «почему»,2011,Саймон Синек,Великобритания
Уттара-рама-чарита,,Бхавабхути,
Алое восстание,2014,Пирс Браун,США
Мильтон (поэма),1804,Уильям Блейк,Соединённое королевство Великобритании и Ирландии
Всей деревней,1996,Хиллари Клинтон,США
Журналюги,2013,Сергей Аманович Хуммедов,СССР
Журналюги,2013,Сергей Аманович Хуммедов,Россия
Эмигранты,1974,Славомир Мрожек,Франция
Эмигранты,1974,Славомир Мрожек,Польша
Пианистка,1983,Эльфрида Елинек,Австрия
Перманентная революция,1931,Лев Давидович Троцкий,Украинская Советская Социалистическая Республика
Носорог,,"Ионеско, Эжен",Румыния
Пандемониум,2012,"Оливер, Лорен",США
‘Ак̣ӣдат̈ ас-саляф ва ас̣х̣а̄б аль-х̣адӣс̱,,Абу ‘Усман ас-Сабуни,Аббасидский халифат
Стэнли,1996,Пэм Гемс,Соединённое королевство Великобритании и Ирландии
Машиналь,,Софи Тредуэлл,США
Железный бурьян,1983,Уильям Кеннеди,США
Шешер кобита,1929,Рабиндранат Тагор,Британская Индия
С мандатом Хроноса,1995,Андрей Евгеньевич Гусев,СССР
С мандатом Хроноса,1995,Андрей Евгеньевич Гусев,Россия
Дом странных детей,2011,Ренсом Риггз,США
Аль-Вафи би-ль-вафаят,,Ас-Сафади,
Частная жизнь Чингисхана,,Дуглас Адамс,Великобритания
"Преследование и убийство Жан-Поля Марата, представленное актёрской труппой госпиталя в Шарантоне под руководством господина де Сада",1964,Петер Вайс,Чехословакия
"Преследование и убийство Жан-Поля Марата, представленное актёрской труппой госпиталя в Шарантоне под руководством господина де Сада",1964,Петер Вайс,Швеция
Самая прекрасная земля на свете,2012,Грейс МакКлин,Уэльс
Самая прекрасная земля на свете,2012,Грейс МакКлин,Великобритания
Десять книг об архитектуре,-100,Марк Витрувий Поллион,Древний Рим
Иерусалим (поэма),1804,Уильям Блейк,Королевство Великобритания
Тень и Кость,2012,Ли Бардуго,Израиль
Люди среди деревьев,2013,"Янагихара, Ханья",США
Вызовите акушерку,2002,"Уорт, Дженифер",Великобритания
Убу Рой,1896,"Жарри, Альфред",Франция
Тень и Кость,2012,Ли Бардуго,США
Глиняный мост,2018,"Зузак, Маркус",Австралия
Бегущий в лабиринте,2009,Джеймс Дэшнер,США
Мильтон (поэма),1804,Уильям Блейк,Королевство Великобритания
Свобода от страха,1991,Аун Сан Су Чжи,Мьянма
Гитанджали,1910,Рабиндранат Тагор,Британская Индия
Девятый Дом,,Ли Бардуго,Израиль
Шестёрка Воронов,2015,Ли Бардуго,Израиль
По ту сторону звёзд,2020,Кристофер Паолини,США
По Уссурийскому краю,1921,"Арсеньев, Владимир Клавдиевич",Российская империя
Симпсоны и их математические секреты,2013,Саймон Сингх,Великобритания
У войны не женское лицо,1985,Светлана Александровна Алексиевич,Белоруссия
Король шрамов,2019,Ли Бардуго,США
Рискуя собственной шкурой,2018,"Талеб, Нассим Николя",Ливан
Хальк аф‘аль аль-‘ибад,,Мухаммад аль-Бухари,Аббасидский халифат
"Джек Ричер, или Дело",2011,Ли Чайлд,Великобритания
Девятый Дом,,Ли Бардуго,США
Шестёрка Воронов,2015,Ли Бардуго,США
Парадоксы стоиков,-45,Марк Туллий Цицерон,Древний Рим
Дядя Стёпа — ветеран,1982,Сергей Владимирович Михалков,СССР
Дядя Стёпа — ветеран,1985,Сергей Владимирович Михалков,СССР
Дядя Стёпа — ветеран,2007,Сергей Владимирович Михалков,СССР
Дядя Стёпа — ветеран,1982,Сергей Владимирович Михалков,Россия
Дядя Стёпа — ветеран,1985,Сергей Владимирович Михалков,Россия
Дядя Стёпа — ветеран,2007,Сергей Владимирович Михалков,Россия
Рискуя собственной шкурой,2018,"Талеб, Нассим Николя",США
Музыка горячей воды,1983,Чарльз Буковски,Германия
Восточные новеллы,1938,Маргерит Юрсенар,Бельгия
Восточные новеллы,1938,Маргерит Юрсенар,Франция
Дьявол и Дэниел Уэбстер,1937,Стивен Винсент Бене,США
Летающий лекарь,,Мольер,Королевство Франция
Дядя Стёпа — ветеран,1982,Сергей Владимирович Михалков,Российская империя
Дядя Стёпа — ветеран,1985,Сергей Владимирович Михалков,Российская империя
Дядя Стёпа — ветеран,2007,Сергей Владимирович Михалков,Российская империя
Исповедь,1882,Лев Николаевич Толстой,Российская империя
Музыка горячей воды,1983,Чарльз Буковски,США
Восточные новеллы,1938,Маргерит Юрсенар,США
Тафхим аль-Куран,,Абу-ль-Аля Маудуди,Британская Индия
Квартеронка,1856,Томас Майн Рид,Соединённое королевство Великобритании и Ирландии
Странный Томас,2003,Дин Кунц,США
Цинковые мальчики,1989,Светлана Александровна Алексиевич,СССР
Маленькая жизнь,2015,"Янагихара, Ханья",США
Тафхим аль-Куран,,Абу-ль-Аля Маудуди,Пакистан
Происхождение,2017,Дэн Браун,США
Счастливая Москва,1991,Андрей Платонович Платонов,СССР
Кубра аль-якинийя аль-кавнийя,,Рамадан аль-Бути,Сирия
Цинковые мальчики,1989,Светлана Александровна Алексиевич,Белоруссия
Кризис (книга),,Джаред Даймонд,США
Два лика января,1964,"Хайсмит, Патриция",США
Наследники земли,2016,"Фальконес, Ильдефонсо",Испания
Котик Летаев,1919,Андрей Белый,СССР
Морской ястреб,1915,Рафаэль Сабатини,Соединённое королевство Великобритании и Ирландии
Счастливая Москва,1991,Андрей Платонович Платонов,Российская империя
Последние свидетели,1985,Светлана Александровна Алексиевич,СССР
Котик Летаев,1919,Андрей Белый,Российская империя
Метро 2035,2015,Дмитрий Алексеевич Глуховский,Израиль
Метро 2035,2015,Дмитрий Алексеевич Глуховский,Россия
Фикх ас-сира ан-набавийа,,Рамадан аль-Бути,Сирия
Загадочные события во Франчесе,1948,Джозефина Тей,Великобритания
Последние свидетели,1985,Светлана Александровна Алексиевич,Белоруссия
Адаб аль-мурфад,,Мухаммад аль-Бухари,Аббасидский халифат
Аль-Бурхан фи улюм аль-Куран,,Аз-Заркаши,Египет
Нашват аль-шамуль фи ас-сафар аля Истамбуль,,Махмуд аль-Алуси,Османская империя
Котик Летаев,1919,Андрей Белый,Российская Советская Федеративная Социалистическая Республика
Покорность,2015,Мишель Уэльбек,Франция
Плоды просвещения,1890,Лев Николаевич Толстой,Российская империя
Ат-Тахбир фи ат-тазкир,,Абд аль-Карим аль-Кушайри,Аббасидский халифат
Аль-Бурхан фи улюм аль-Куран,,Аз-Заркаши,Мамлюкский султанат
Торт в небе,1966,Джанни Родари,Италия
Торт в небе,1966,Джанни Родари,Королевство Италия
Сложные решения,2014,Хиллари Клинтон,США
"Джек Ричер, или Вечерняя школа",2016,Ли Чайлд,Великобритания
Книга жизни,2014,"Харкнесс, Дебора",США
Анализ ценных бумаг,1934,Бенджамин Грэм,США
Нихаят аль-араб фи маарифат ансаб аль-араб,,Аль-Калкашанди,
Дюжина аббатов,1981,"Манчинелли, Лаура",Италия
Дюжина аббатов,1981,"Манчинелли, Лаура",Королевство Италия
Продажное королевство,2016,Ли Бардуго,Израиль
Шум Армагеддона,1983,Джордж Мартин,США
Океан в конце дороги,2013,Нил Гейман,Великобритания
Ведьмино отродье,2016,Маргарет Этвуд,Канада
Клара и Солнце,2021,Кадзуо Исигуро,Великобритания
Гений и богиня,1955,Олдос Хаксли,Великобритания
Клара и Солнце,2021,Кадзуо Исигуро,Япония
Продажное королевство,2016,Ли Бардуго,США
Заветы,2019,Маргарет Этвуд,Канада
"Джек Ричер, или Никогда не возвращайся",2013,Ли Чайлд,Великобритания
Глаз цапли,1978,Урсула Крёбер Ле Гуин,США
Анализ характера,1933,Вильгельм Райх,Австрия
Эйсид Хаус,1994,Ирвин Уэлш,Великобритания
Квартеронка,1856,Томас Майн Рид,США
И эхо летит по горам (роман),2013,Халед Хоссейни,США
Анализ характера,1933,Вильгельм Райх,США
Анализ характера,1933,Вильгельм Райх,Австро-Венгрия
По Уссурийскому краю,1921,"Арсеньев, Владимир Клавдиевич",СССР
У войны не женское лицо,1985,Светлана Александровна Алексиевич,СССР
В чём моя вера?,1884,Лев Николаевич Толстой,Российская империя
Морской ястреб,1915,Рафаэль Сабатини,Италия
Морской ястреб,1915,Рафаэль Сабатини,Королевство Италия
Правек и другие времена,1996,Ольга Токарчук,Польша
Король шрамов,2019,Ли Бардуго,Израиль
По Уссурийскому краю,1921,"Арсеньев, Владимир Клавдиевич",Российская республика
Морской ястреб,1915,Рафаэль Сабатини,Великобритания
Цивилизация эмпатии,2010,Джереми Рифкин,США
аль-Аджвиба аль-иракийя аля аль-Асиля аль-ляхуриях,,Махмуд аль-Алуси,Османская империя
Город Эн,1935,"Добычин, Леонид Иванович",СССР
Взломщики кодов,1967,"Кан, Дэвид",США
Ты — Космос. Как открыть в себе вселенную и почему это важно,2017,Дипак Чопра,Индия
Маленький Иллимар : история одного детства,1937,Фридеберт Туглас,Российская империя
Эмиль из Лённеберги,,Астрид Линдгрен,Швеция
Жизнь Арсеньева,1952,Иван Алексеевич Бунин,Франция
Изувеченная Америка: Как сделать Америку снова великой,2015,Дональд Трамп,США
Поучение Агапита,,Агапит,Византия
Город Эн,1935,"Добычин, Леонид Иванович",Российская империя
Трагедия Мариам,1613,Елизавета Кэри,
Жизнь Арсеньева,1952,Иван Алексеевич Бунин,Российская империя
Вендиго,1910,Алджернон Блэквуд,Великобритания
Дом на набережной,1976,Юрий Валентинович Трифонов,СССР
Царь Пап,1944,Степан Зорян,СССР
Донесение о посольстве в Константинополь,,Лиутпранд Кремонский,
Только с дочерью,1987,Бетти Махмуди,США
Родословная туркмен,,Абу-ль-Гази,Хивинское ханство
Индия (Бируни),,Аль-Бируни,Саманидское государство
Тальбис Иблис,,Абу-ль-Фарадж ибн аль-Джаузи,Аббасидский халифат
Возвращение Будды,1947,Гайто Газданов,Российская империя
Новая история Зосимы,,Зосим,Византия
Пылающий Рур,1928,"Грюнберг, Карл",ГДР
Flash Boys: Высокочастотная революция на Уолл-стрит,2014,"Льюис, Майкл",США
Царь Пап,1944,Степан Зорян,Российская империя
Китаб хикмат аль-ишрак,,Шихабуддин Я. Сухраварди,Аббасидский халифат
Мыслеформы: данные ясновидческого исследования,1901,Анни Безант,Соединённое королевство Великобритании и Ирландии
Тафсир аль-Манар,,Мухаммад Абдо,Османская империя
Тафсир аль-Манар,,Мухаммад Абдо,Египетский хедиват
Бустан аль-ваизин ва рийяд ас-самиин,,Абу-ль-Фарадж ибн аль-Джаузи,Аббасидский халифат
Усама,2011,Лави Тидхар,Израиль
Что к чему и почему,1993,"Монзо, Ким",Испания
Древняя мудрость,1897,Анни Безант,Соединённое королевство Великобритании и Ирландии
L’Isolement,,Альфонс де Ламартин,Франция
Техника и цивилизация,1934,"Мамфорд, Льюис",США
Барк аш-Шами,,Имад ад-Дин,
Описания статуй,,Каллистрат,Древний Рим
История Багдада,,Аль-Хатиб аль-Багдади,
Аль-мунтазим фи тарикх аль-мулюк ва-ль-умам,,Абу-ль-Фарадж ибн аль-Джаузи,Аббасидский халифат
Зад уль-масир фи илм ат-тафсир,,Абу-ль-Фарадж ибн аль-Джаузи,Аббасидский халифат
Мустаска фи амсаль аль-Араб,,Махмуд аз-Замахшари,Аббасидский халифат
Старуха,1974,Даниил Иванович Хармс,СССР
Аль-Кифая фи илм ар-ривая,,Аль-Хатиб аль-Багдади,
Иктида аль-илм аль-амал,,Аль-Хатиб аль-Багдади,
Ар-Рихла фи талаб аль-хадис,,Аль-Хатиб аль-Багдади,
Аль-Факих ва-ль-мутафакких,,Аль-Хатиб аль-Багдади,
Масала фи ас-сифат,,Аль-Хатиб аль-Багдади,
Шараф асхаб аль-хадис,,Аль-Хатиб аль-Багдади,
Аль-Джами ли-ахлак ар-рави ва адаб ас-сами,,Аль-Хатиб аль-Багдади,
Означивающая обезьяна,1988,Генри Луис Гейтс,США
Старуха,1974,Даниил Иванович Хармс,Российская империя
Пламя над бездной,1992,Вернор Виндж,США
Вне поля зрения,1996,Элмор Леонард,США
Раны Армении,1858,Хачатур Абовян,Российская империя
Раны Армении,1858,Хачатур Абовян,Эриванское ханство
Вендиго,1910,Алджернон Блэквуд,Соединённое королевство Великобритании и Ирландии
Табакат ас-суфийя,,Абу Абдуррахман ас-Сулами,Газневидское государство
Хакаик ат-тафсир,,Абу Абдуррахман ас-Сулами,Газневидское государство
Дерево лжи,2015,"Хардинг, Фрэнсис",Великобритания
Час выбора,1964,Антон Дончев,Болгария
Исмина и Исминий,1166,Евматий Макремволит,Византия
Воображаемые сообщества,1983,Бенедикт Андерсон,Ирландия
Семь этюдов по физике,2014,"Ровелли, Карло",Франция
Асас аль-баляга,,Махмуд аз-Замахшари,Аббасидский халифат
Книга путей и стран (Ибн Хаукаль),977,Ибн Хаукаль,
Капитал и идеология,2019,"Пикетти, Тома",Франция
Хон Гильдон,1612,Хо Гюн,Чосон
Козлиная песнь,1927,Константин Константинович Вагинов,СССР
Подземная железная дорога,2016,Колсон Уайтхед,США
Елизавета Бам,,Даниил Иванович Хармс,СССР
О фотографии,1977,"Зонтаг, Сьюзен",США
Призрак Александра Вольфа,1947,Гайто Газданов,Российская империя
Щегол,2013,Донна Тартт,США
Козлиная песнь,1927,Константин Константинович Вагинов,Российская империя
Кашф аз-зунун ан асами аль-кутуб ва-ль-фунун,,Кятиб Челеби,Османская империя
аль-Муфассаль фи синаати аль-ираб,,Махмуд аз-Замахшари,Аббасидский халифат
Лондонские тайны,1844,Поль Феваль,Франция
Мыслеформы: данные ясновидческого исследования,1901,Анни Безант,Великобритания
Мозг рассказывает. Что делает нас людьми,2011,Вилейанур Рамачандран,Индия
Родословная тюрок,,Абу-ль-Гази,Хивинское ханство
Моя краткая история,2013,Стивен Хокинг,Великобритания
Елизавета Бам,,Даниил Иванович Хармс,Российская империя
Детство,1913,Максим Горький,СССР
Древняя мудрость,1897,Анни Безант,Великобритания
аль-Вафа би-Ахваль аль-Мустафа,,Абу-ль-Фарадж ибн аль-Джаузи,Аббасидский халифат
Мавдуат аль-Кубра,,Абу-ль-Фарадж ибн аль-Джаузи,Аббасидский халифат
История растений,,Теофраст,Древние Афины
Табакат ас-суфийя,,Абу Абдуррахман ас-Сулами,Саманидское государство
Хакаик ат-тафсир,,Абу Абдуррахман ас-Сулами,Саманидское государство
Как работать по 4 часа в неделю,,"Феррисс, Тимоти",США
Детство,1913,Максим Горький,Российская империя
Индия (Бируни),,Аль-Бируни,Газневидское государство
Слепые,,Морис Метерлинк,Бельгия
Фунун аль-афнан фи аюн улюм аль-Куран,,Абу-ль-Фарадж ибн аль-Джаузи,Аббасидский халифат
Сира Ибн Хишама,,Ибн Хишам,
Мистер Пип,2006,Ллойд Джонс,Новая Зеландия
Маленький Иллимар : история одного детства,1937,Фридеберт Туглас,Эстония
Маленький Иллимар : история одного детства,1937,Фридеберт Туглас,СССР
Бабий Яр,1961,Евгений Александрович Евтушенко,СССР
Бабий Яр,1961,Евгений Александрович Евтушенко,Россия
Весь невидимый нам свет,2014,"Дорр, Энтони",США
Асрар аль-баляга,,Абд аль-Кахир аль-Джурджани,Аббасидский халифат
На высокой Полонине,1936,Станислав Винценц,Польская Республика
На высокой Полонине,1970,Станислав Винценц,Польская Республика
На высокой Полонине,1974,Станислав Винценц,Польская Республика
На высокой Полонине,1979,Станислав Винценц,Польская Республика
Патологии,2005,Захар Прилепин,Россия
На высокой Полонине,1936,Станислав Винценц,Австро-Венгрия
На высокой Полонине,1970,Станислав Винценц,Австро-Венгрия
На высокой Полонине,1974,Станислав Винценц,Австро-Венгрия
На высокой Полонине,1979,Станислав Винценц,Австро-Венгрия
Вардананк,1943,"Демирчян, Дереник Карапетович",Российская империя
"Нечистая, неведомая и крестная сила",1903,"Максимов, Сергей Васильевич",Российская империя
На другой планете,1901,"Инфантьев, Порфирий Павлович",Российская империя
Каналья,1924,Михаил Саввич Джавахишвили,СССР
Фатава-и Развия,,Ахмед Раза Хан Барелви,Британская Индия
Жизнь и смерть Харриетт Фрин,1922,"Синклер, Мэй",Великобритания
Идах аль-Максуд мин вахдат аль-вуджуд,,Абду-ль-Гани ан-Наблуси,Османская империя
Хадаик-и Бахшиш,1907,Ахмед Раза Хан Барелви,Британская Индия
Светила,,"Каттон, Элеонора",Новая Зеландия
Пэпо,1870,Габриел Сундукян,Российская империя
Каналья,1924,Михаил Саввич Джавахишвили,Российская империя
В лесах,1874,Павел Иванович Мельников-Печерский,Российская империя
Время женщин,2009,"Чижова, Елена Семёновна",Россия
Детектив,1966,Родерик Торп,США
Светила,,"Каттон, Элеонора",Канада
Толковая Библия Лопухина,1904,Александр Павлович Лопухин,Российская империя
Васак,1914,"Демирчян, Дереник Карапетович",СССР
Плата за страх,1949,Жорж Арно,Франция
21 урок для XXI века,2018,Юваль Ной Харари,Израиль
Сос и Вардитер,1860,Перч Прошьян,
Васак,1914,"Демирчян, Дереник Карапетович",Российская империя
Сунан ад-Дарими,,Абу Мухаммад Абдуллах ад-Дарими,Аббасидский халифат
Жёлтый князь,1963,Василий Барка,СССР
Жёлтый князь,1963,Василий Барка,Украинская Народная Республика
Он снова здесь,2012,"Вермеш, Тимур",Германия
Повествование по истории Гранады,,Ибн аль-Хатыб,Гранадский эмират
"Монах, который продал свой «феррари»",1999,"Шарма, Робин",Маврикий
Жёлтый князь,1963,Василий Барка,США
Артист,,Александр Ширванзаде,СССР
Вот кончилась зима,,Тамаз Чиладзе,СССР
Вот кончилась зима,,Тамаз Чиладзе,Грузия
Приключения,1974,"Кадыров, Пиримкул",СССР
Приключения,1974,"Кадыров, Пиримкул",Узбекистан
Артист,,Александр Ширванзаде,Российская империя
Каналья,1924,Михаил Саввич Джавахишвили,Грузинская Демократическая Республика
В трясине,,Рудольф Блауманис,Российская империя
Ленин,2000,"Сервис, Роберт",Великобритания
Звездные ночи,1978,"Кадыров, Пиримкул",СССР
Звездные ночи,1983,"Кадыров, Пиримкул",СССР
Звездные ночи,1984,"Кадыров, Пиримкул",СССР
Звездные ночи,1985,"Кадыров, Пиримкул",СССР
Звездные ночи,1986,"Кадыров, Пиримкул",СССР
Звездные ночи,1988,"Кадыров, Пиримкул",СССР
Звездные ночи,1990,"Кадыров, Пиримкул",СССР
"Монах, который продал свой «феррари»",1999,"Шарма, Робин",Канада
"Муфта, Полботинка и Моховая Борода. Книга первая",1972,Эно Рауд,Эстония
Звездные ночи,1978,"Кадыров, Пиримкул",Узбекистан
Звездные ночи,1983,"Кадыров, Пиримкул",Узбекистан
Звездные ночи,1984,"Кадыров, Пиримкул",Узбекистан
Звездные ночи,1985,"Кадыров, Пиримкул",Узбекистан
Звездные ночи,1986,"Кадыров, Пиримкул",Узбекистан
Звездные ночи,1988,"Кадыров, Пиримкул",Узбекистан
Звездные ночи,1990,"Кадыров, Пиримкул",Узбекистан
Легенды и мифы Древней Греции,1914,Николай Альбертович Кун,СССР
Легенды и мифы Древней Греции,1937,Николай Альбертович Кун,СССР
The Anime Encyclopedia,2001,"Маккарти, Хелен",Великобритания
"Девушка, которая застряла в паутине",2015,"Лагеркранц, Давид",Швеция
